Player ID,Year,Rnd,Player,Pos,PB,St,G,SB,College/Univ
1,2024,1,Troy Fautanu,OL,0,0,1,0,Washington
2,2024,2,Zach Frazier,OL,0,1,9,0,West Virginia
3,2024,3,Roman Wilson,WR,0,0,1,0,Michigan
4,2024,3,Payton Wilson,LB,0,0,11,0,North Carolina St.
5,2024,4,Mason McCormick,OL,0,1,11,0,South Dakota St.
6,2024,6,Logan Lee,DL,0,0,,0,Iowa
7,2024,6,Ryan Watts,SAF,0,0,,0,Texas
8,2023,1,Broderick Jones,OL,0,2,28,0,Georgia
9,2023,2,Joey Porter Jr.,CB,0,2,28,0,Penn St.
10,2023,2,Keeanu Benton,NT,0,2,28,0,Wisconsin
11,2023,3,Darnell Washington,TE,0,1,28,0,Georgia
12,2023,4,Nick Herbig,OLB,0,0,24,0,Wisconsin
13,2023,7,Cory Trice,CB,0,0,3,0,Purdue
14,2023,7,Spencer Anderson,OL,0,0,19,0,Maryland
15,2022,1,Kenny Pickett,QB,0,2,27,0,Pittsburgh
16,2022,2,George Pickens,WR,0,3,45,0,Georgia
17,2022,3,DeMarvin Leal,DT,0,0,28,0,Texas A&M
18,2022,4,Calvin Austin III,WR,0,0,28,0,Memphis
19,2022,6,Connor Heyward,TE,0,0,45,0,Michigan St.
20,2022,7,Mark Robinson,LB,0,0,32,0,Mississippi
21,2022,7,Chris Oladokun,QB,0,0,,0,South Dakota St.
22,2021,1,Najee Harris,RB,1,4,62,0,Alabama
23,2021,2,Pat Freiermuth,TE,0,2,55,0,Penn St.
24,2021,3,Kendrick Green,OL,0,1,30,0,Illinois
25,2021,4,Dan Moore,OL,0,4,60,0,Texas A&M
26,2021,4,Buddy Johnson,LB,0,0,13,0,Texas A&M
27,2021,5,Isaiahh Loudermilk,DE,0,0,53,0,Wisconsin
28,2021,6,Quincy Roche,DL,0,0,17,0,Miami (FL)
29,2021,7,Tre Norwood,DB,0,0,32,0,Oklahoma
30,2021,7,Pressley Harvin III,P,0,2,47,0,Georgia Tech
31,2020,2,Chase Claypool,WR,0,1,58,0,Notre Dame
32,2020,3,Alex Highsmith,LB,0,4,72,0,Charlotte
33,2020,4,Anthony McFarland Jr.,RB,0,0,17,0,Maryland
34,2020,4,Kevin Dotson,G,0,3,63,0,Louisiana
35,2020,6,Antoine Brooks Jr.,S,0,0,12,0,Maryland
36,2020,7,Carlos Davis,DT,0,0,12,0,Nebraska
37,2019,1,Devin Bush Jr.,LB,0,3,76,0,Michigan
38,2019,3,Diontae Johnson,WR,1,5,87,0,Toledo
39,2019,3,Justin Layne,CB,0,0,52,0,Michigan St.
40,2019,4,Benny Snell Jr.,RB,0,0,63,0,Kentucky
41,2019,5,Zach Gentry,TE,0,2,41,0,Michigan
42,2019,6,Sutton Smith,DE,0,0,8,0,Northern Illinois
43,2019,6,Isaiah Buggs,DT,0,1,56,0,Alabama
44,2019,6,Ulysees Gilbert,LB,0,0,31,0,Akron
45,2019,7,Derwin Gray,T,0,0,5,0,Maryland
46,2018,1,Terrell Edmunds,S,0,5,101,0,Virginia Tech
47,2018,2,James Washington,WR,0,2,62,0,Oklahoma St.
48,2018,3,Mason Rudolph,QB,0,1,25,0,Oklahoma St.
49,2018,3,Chukwuma Okorafor,T,0,3,78,0,Western Michigan
50,2018,5,Marcus Allen,S,0,0,48,0,Penn St.
51,2018,5,Jaylen Samuels,TE,0,0,45,0,North Carolina St.
52,2018,7,Joshua Frazier,DT,0,0,,0,Alabama
53,2017,1,T.J. Watt,OLB,6,8,115,0,Wisconsin
54,2017,2,JuJu Smith-Schuster,WR,1,4,97,0,USC
55,2017,3,Cameron Sutton,CB,0,3,104,0,Tennessee
56,2017,3,James Conner,RB,2,6,101,0,Pittsburgh
57,2017,4,Joshua Dobbs,QB,0,0,21,0,Tennessee
58,2017,5,Brian Allen,DB,0,0,20,0,Utah
59,2017,6,Colin Holba,LS,0,0,19,0,Louisville
60,2017,7,Keion Adams,OLB,0,0,,0,Western Michigan
61,2016,1,Artie Burns,CB,0,1,87,0,Miami (FL)
62,2016,2,Sean Davis,CB,0,3,70,0,Maryland
63,2016,3,Javon Hargrave,DT,2,8,130,0,South Carolina St.
64,2016,4,Jerald Hawkins,T,0,0,19,0,LSU
65,2016,6,Travis Feeney,OLB,0,0,,0,Washington
66,2016,7,Demarcus Ayers,WR,0,0,2,0,Houston
67,2016,7,Tyler Matakevich,OLB,0,0,134,0,Temple
68,2015,1,Bud Dupree,OLB,0,6,129,0,Kentucky
69,2015,2,Senquez Golson,CB,0,0,,0,Mississippi
70,2015,3,Sammie Coates,WR,0,0,44,0,Auburn
71,2015,4,Doran Grant,CB,0,0,3,0,Ohio St.
72,2015,5,Jesse James,TE,0,4,104,0,Penn St.
73,2015,6,Leterrius Walton,DT,0,0,36,0,Central Michigan
74,2015,6,Anthony Chickillo,DE,0,1,76,0,Miami (FL)
75,2015,7,Gerod Holliman,S,0,0,,0,Louisville
76,2014,1,Ryan Shazier,LB,2,3,46,0,Ohio St.
77,2014,2,Stephon Tuitt,DE,0,6,91,0,Notre Dame
78,2014,3,Dri Archer,WR,0,0,20,0,Kent St.
79,2014,4,Martavis Bryant,WR,0,1,44,0,Clemson
80,2014,5,Shaquille Richardson,DB,0,0,,0,Arizona
81,2014,5,Wesley Johnson,OL,0,1,51,0,Vanderbilt
82,2014,6,Jordan Zumwalt,LB,0,0,,0,UCLA
83,2014,6,Daniel McCullers,DT,0,0,76,0,Tennessee
84,2014,7,Rob Blanchflower,TE,0,0,,0,Massachusetts
85,2013,1,Jarvis Jones,LB,0,1,50,0,Georgia
86,2013,2,Le'Veon Bell,RB,3,5,96,0,Michigan St.
